Inflammatory response ,Epithelial-mesenchymal transition,Apoptosis,Cellular senescence,Autophagy,Oxidative stress
,,,,,IL23A
,,,,,IL2RA
,,,,,IL2RB
,,,,,IL3
,,,,,IL33
,,,,,IL4
,,,,,IL5
,,,,,IL6
,,,,,IL6R
,,,,,INS
,,,,,INSR
,,,,,IRAK1
,,,,,IREB2
,,,,,IRF1
,,,,,IRF5
,,,,,IRS1
,,,,,ISCU
,,,,,ISG15
,,,,,ITGA2
,,,,,ITGAL
,,,,,ITGAM
,,,,,ITGB1
,,,,,ITGB2
,,,,,ITGB3
,,,,,ITIH4
,,,,,ITPR1
,,,,,JAK1
,,,,,JAK2
,,,,,JAZF1
,,,,,JUN
,,,,,JUNB
,,,,,KCNE1
,,,,,KCNE2
,,,,,KCNH2
,,,,,KCNJ2
,,,,,KCNJ5
,,,,,KCNMA1
,,,,,KCNQ1
,,,,,KCNT1
,,,,,KDR
,,,,,KEAP1
,,,,,KIAA0319L
,,,,,KIF1B
,,,,,KIT
,,,,,KL
,,,,,KLF2
,,,,,KLF4
,,,,,KLRK1
,,,,,KNG1
,,,,,KRAS
,,,,,KRIT1
,,,,,KRT18
,,,,,KRT8
,,,,,LAMP1
,,,,,LAMP2
,,,,,LANCL1
,,,,,LBR
,,,,,LCAT
,,,,,LCK
,,,,,LCN2
,,,,,LDLR
,,,,,LEP
,,,,,LEPQTL1
,,,,,LGALS1
,,,,,LGALS3
,,,,,LIN28B
,,,,,LMNA
,,,,,LOC110806262
,,,,,LOC110973015
,,,,,LOC111365141
,,,,,LONP1
,,,,,LOX
,,,,,LPA
,,,,,LPL
,,,,,LPO
,,,,,LRPPRC
,,,,,LRRK2
,,,,,LTA
,,,,,LTF
,,,,,LYN
,,,,,LYRM4
,,,,,MALAT1
,,,,,MAOA
,,,,,MAOB
,,,,,MAP2
,,,,,MAP2K1
,,,,,MAP2K3
,,,,,MAP2K4
,,,,,MAP2K6
,,,,,MAP2K7
,,,,,MAP3K1
,,,,,MAP3K11
,,,,,MAP3K5
,,,,,MAP3K7
,,,,,MAPK1
,,,,,MAPK10
,,,,,MAPK11
,,,,,MAPK12
,,,,,MAPK13
,,,,,MAPK14
,,,,,MAPK3
,,,,,MAPK7
,,,,,MAPK8
,,,,,MAPK8IP1
,,,,,MAPK9
,,,,,MAPKAPK2
,,,,,MAPKAPK3
,,,,,MAPKAPK5
,,,,,MAPT
,,,,,MATR3
,,,,,MB
,,,,,MBL2
,,,,,MBP
,,,,,MCL1
,,,,,MCU
,,,,,MDH1
,,,,,MDH2
,,,,,MDM2
,,,,,MECOM
,,,,,MECP2
,,,,,MET
,,,,,MFN2
,,,,,MGMT
,,,,,MGST1
,,,,,MICB
,,,,,MIF
,,,,,MIR106B
,,,,,MIR107
,,,,,MIR122
,,,,,MIR125A
,,,,,MIR126
,,,,,MIR132
,,,,,MIR133B
,,,,,MIR142
,,,,,MIR143
,,,,,MIR144
,,,,,MIR145
,,,,,MIR146A
,,,,,MIR148B
,,,,,MIR152
,,,,,MIR155
,,,,,MIR17
,,,,,MIR181A1
,,,,,MIR181A2
,,,,,MIR181C
,,,,,MIR184
,,,,,MIR185
,,,,,MIR195
,,,,,MIR199A1
,,,,,MIR19A
,,,,,MIR200B
,,,,,MIR200C
,,,,,MIR203A
,,,,,MIR20A
,,,,,MIR21
,,,,,MIR210
,,,,,MIR214
,,,,,MIR22
,,,,,MIR221
,,,,,MIR222
,,,,,MIR223
,,,,,MIR23A
,,,,,MIR23B
,,,,,MIR24-1
,,,,,MIR24-2
,,,,,MIR25
,,,,,MIR27A
,,,,,MIR29A
,,,,,MIR34A
,,,,,MIR34C
,,,,,MIR433
,,,,,MIR9-1
,,,,,MIR92A1
,,,,,MIR93
,,,,,MKI67
,,,,,MLYCD
,,,,,MMD
,,,,,MME
,,,,,MMP1
,,,,,MMP13
,,,,,MMP14
,,,,,MMP2
,,,,,MMP3
,,,,,MMP7
,,,,,MMP8
,,,,,MMP9
,,,,,MPO
,,,,,MRAP
,,,,,MRPL44
,,,,,MRPS14
,,,,,MRPS16
,,,,,MRPS22
,,,,,MRPS34
,,,,,MSH2
,,,,,MSN
,,,,,MSR1
,,,,,MSRA
,,,,,MSRB1
,,,,,MSRB2
,,,,,MSRB3
,,,,,MT3
,,,,,MTA1
,,,,,MT-ATP6
,,,,,MT-CO1
,,,,,MT-CO2
,,,,,MT-CO3
,,,,,MT-CYB
,,,,,MTFMT
,,,,,MTHFR
,,,,,MT-ND1
,,,,,MT-ND2
,,,,,MT-ND3
,,,,,MT-ND4
,,,,,MT-ND5
,,,,,MT-ND6
,,,,,MTO1
,,,,,MTOR
,,,,,MTR
,,,,,MT-TK
,,,,,MT-TL1
,,,,,MTTP
,,,,,MUC1
,,,,,MUC5AC
,,,,,MUTYH
,,,,,MYC
,,,,,MYD88
,,,,,MYH6
,,,,,MYH7
,,,,,MYLK
,,,,,MYO9A
,,,,,NAGS
,,,,,NAMPT
,,,,,NAT2
,,,,,NCAM1
,,,,,NCF1
,,,,,NCF2
,,,,,NCF4
,,,,,NDRG1
,,,,,NDUFA1
,,,,,NDUFA10
,,,,,NDUFA12
,,,,,NDUFA13
,,,,,NDUFA6
,,,,,NDUFA9
,,,,,NDUFAF2
,,,,,NDUFB8
,,,,,NDUFB9
,,,,,NDUFS1
,,,,,NDUFS2
,,,,,NDUFS3
,,,,,NDUFS4
,,,,,NDUFS6
,,,,,NDUFS7
,,,,,NDUFS8
,,,,,NDUFV1
,,,,,NDUFV2
,,,,,NEAT1
,,,,,NEDD8
,,,,,NEFH
,,,,,NEFL
,,,,,NEIL1
,,,,,NEK1
,,,,,NES
,,,,,NFE2L1
,,,,,NFE2L2
,,,,,NFKB1
,,,,,NFKBIA
,,,,,NFU1
,,,,,NGB
,,,,,NGF
,,,,,NGFR
,,,,,NLRP1
,,,,,NLRP3
,,,,,NME1
,,,,,NOD2
,,,,,NOL3
,,,,,NOS1
,,,,,NOS1AP
,,,,,NOS2
,,,,,NOS3
,,,,,NOSIP
,,,,,NOSTRIN
,,,,,NOTCH1
,,,,,NOX1
