"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.98090901442923e-38,1.70335481631129,0.333,0.07,8.25920460627906e-34,"9","IFNG"
4.25803169659953e-34,1.6848446656962,0.257,0.048,1.17977284217683e-29,"9","LINC01871"
6.75812196131934e-17,1.64206379993379,0.257,0.081,1.87247285182275e-12,"9","NUDT1"
3.38590310042932e-45,1.63064358367513,0.351,0.067,9.38132172035952e-41,"9","GZMH"
6.15108082159572e-30,1.60768500060915,0.316,0.076,1.70427996323953e-25,"9","CTSW"
3.71684275006688e-20,1.56535815418389,0.351,0.12,1.02982562076103e-15,"9","CDKN2D"
7.2518539359632e-34,1.56051460751907,0.374,0.092,2.00927117003732e-29,"9","CD247"
1.47326159759601e-15,1.53758562629035,0.433,0.199,4.08196590845926e-11,"9","TMPO"
8.47526026946213e-12,1.50020682155798,0.316,0.138,2.34824036285987e-07,"9","PCNA"
3.45240950507439e-23,1.47858989715443,0.333,0.098,9.56559101570961e-19,"9","PTPN7"
3.3479680139499e-16,1.44246139725318,0.351,0.136,9.27621497625098e-12,"9","HIST1H1E"
1.24870337249863e-26,1.432083851259,0.462,0.151,3.45978243418196e-22,"9","PCED1B-AS1"
6.66418525150686e-64,4.49786043225809,0.278,0.034,1.846445807635e-59,"10","FCER1A"
5.62601936380152e-39,4.26766329666935,0.259,0.046,1.55880118512849e-34,"10","CLEC10A"
1.33015268160923e-176,4.22800164016608,0.772,0.108,3.68545403493471e-172,"10","AIF1"
9.17403858570203e-44,3.98272039366579,0.354,0.077,2.54185087094046e-39,"10","CALHM6"
2.58512785717089e-110,3.91151153050429,0.949,0.366,7.16261375386338e-106,"10","HLA-DPB1"
3.5491079959647e-52,3.86855049551109,0.525,0.152,9.83351352441939e-48,"10","CPVL"
2.87199001930102e-108,3.7839399461983,0.93,0.334,7.95742274647734e-104,"10","HLA-DPA1"
3.49016216768951e-88,3.7675323333523,0.759,0.222,9.67019231801733e-84,"10","HLA-DQB1"
5.05642637105542e-20,3.7666246991314,0.278,0.09,1.40098405462833e-15,"10","HLA-DQA2"
2.67846873764529e-36,3.75507136385098,0.373,0.099,7.4212333313938e-32,"10","C1orf162"
1.23686210961285e-78,3.64846580846843,0.924,0.515,3.42697384710432e-74,"10","CST3"
1.18126648122368e-60,3.50547922273669,0.411,0.077,3.27293503952645e-56,"10","MNDA"
2.71401240212808e-27,3.46191847745411,0.285,0.073,7.51971416257627e-23,"10","SPI1"
2.08393998570445e-25,3.46092712234535,0.266,0.067,5.77397251839132e-21,"10","C1QA"
