id	logFC	P.Value	adj.P.Val
CSF1R	1.486814223316756	2.3197800182315595e-09	3.824792107299311e-07
PLEK	2.23146970435998	2.4017600779304133e-09	3.824792107299311e-07
HDAC9	1.1319230667490494	2.442807869629097e-09	3.824792107299311e-07
TPM1	1.1280393822324193	2.4008656323532296e-09	3.824792107299311e-07
ADAMTS17	-1.324867336039242	2.448365524923907e-09	3.824792107299311e-07
CFAP54	1.2326631328876418	2.512803059084864e-09	3.890090789848135e-07
CCR2	2.410975998284364	2.5599871100747516e-09	3.9277516517432614e-07
RBM20	-0.9319410828622186	2.5986113047984937e-09	3.951728908111267e-07
SIGLEC10	2.087616950464228	2.7353183485388528e-09	4.1231325001133023e-07
SYDE2	-0.6995309775549554	2.8110515358056545e-09	4.2004443122855974e-07
WAS	1.5081414521707979	2.91628947345072e-09	4.283206693314288e-07
DNAJA3	-0.39747717402592286	2.8917036972137536e-09	4.283206693314288e-07
CARD11	2.5706724198430813	2.97133995904845e-09	4.327076767482082e-07
ITGA4	1.7823314307588642	3.030053610916043e-09	4.339036770831774e-07
ZSWIM1	-0.3043974995621852	3.018431489408564e-09	4.339036770831774e-07
CARMIL2	2.1319618827065367	3.0755249390246393e-09	4.367753764644579e-07
TUBA1A	1.4651862023535003	3.185528653813927e-09	4.4868954415687317e-07
BASP1	1.159205707531858	3.2517065139113054e-09	4.542871929679014e-07
SYT11	0.9489671156045745	3.306533593748497e-09	4.582215586691465e-07
KCNT2	1.30819977612963	3.3356813701477546e-09	4.585627893169521e-07
AMOTL1	0.6679225952483172	3.383560895120851e-09	4.6145325731552936e-07
ACVR2B-AS1	-0.8875749173934082	3.647677688532972e-09	4.897007296855515e-07
CD6	2.3533742014044803	3.6245162440626095e-09	4.897007296855515e-07
SPN	2.054160607736435	3.8118693772312905e-09	5.077764602972287e-07
DIRAS1	-1.3691400470273436	3.876123950493214e-09	5.085622759420295e-07
CSF2RB	2.0043244248664998	3.876958691131626e-09	5.085622759420295e-07
DGKA	1.7597763583290806	4.014552041701914e-09	5.226216839742855e-07
SLFN5	1.149660306835603	4.072514864951367e-09	5.243505381081367e-07
LAIR1	1.8633423448550275	4.088860108617919e-09	5.243505381081367e-07
STEAP4	1.6224633103892376	4.184201780543805e-09	5.300187433140976e-07
TMC8	2.3646389906274674	4.1947479685007724e-09	5.300187433140976e-07
MTHFD1L	0.890927995368143	4.525235477256013e-09	5.476172284589248e-07
DYRK2	0.6447357208861781	4.415388414390172e-09	5.476172284589248e-07
ADCY7	1.5506192814779034	4.489261018481223e-09	5.476172284589248e-07
DLGAP1	2.398307333594781	4.38214398098178e-09	5.476172284589248e-07
MARCH1	1.347254441811029	4.435606276562024e-09	5.476172284589248e-07
FANCD2	0.8460853051759702	4.523445281310103e-09	5.476172284589248e-07
ELMO1	1.014569859384558	4.618974976409292e-09	5.511976805181755e-07
SLAMF7	2.9927700860233344	4.611506778964629e-09	5.511976805181755e-07
SAMHD1	1.5728943945492642	4.775133897468385e-09	5.659027647868739e-07
HPCAL1	-0.5320265803624515	4.842900321410039e-09	5.700027337199322e-07
INPP5D	1.477066743753582	4.883314333030499e-09	5.708494795836469e-07
TMEM143	-0.8117400506246923	4.9415157737992295e-09	5.737500476822024e-07
MYO1F	1.6970993991174144	5.100731842119514e-09	5.882615837247096e-07
IL2RB	2.4379863986908825	5.149008447563521e-09	5.898704077528769e-07
LINC00574	-1.7056449510996767	5.240642308815096e-09	5.963920359912491e-07
PARP8	0.9958525240315872	5.277235001823791e-09	5.966053044167107e-07
MPEG1	1.867733280311798	5.39856687846686e-09	6.063331584285916e-07
ETNPPL	-2.765881843790985	5.54798565402174e-09	6.190687368747376e-07
GAS7	1.1562319634525267	5.714524834609095e-09	6.335380306962753e-07
CCDC80	1.3411345017977165	5.92589842663823e-09	6.486027933971423e-07
ITGB2	1.761704881277172	5.911653003704844e-09	6.486027933971423e-07
DHRS4L1	-0.8558022636249856	6.014296905369897e-09	6.499979749803542e-07
ITGAX	2.2539809542675613	6.011034122729885e-09	6.499979749803542e-07
FAM49B	0.6001986241166506	6.304117166864823e-09	6.77062183721282e-07
MNDA	2.0109176152165187	6.352167498623306e-09	6.779853807226267e-07
